"A3","Anytime, Anywhere, Anyplace"
"ADIH","Another day in hell"
"AFAIK","As Far As I Know"
"AFK","Away From Keyboard"
"ASAP","As Soon As Possible"
"ASL","Age, Sex, Location"
"ATK","At The Keyboard"
"ATM","At The Moment"
"B4","Before"
"B4N","Bye For Now"
"B4N","Bye For Now"
"BAE","Before anyone else"
"BAK","Back At Keyboard"
"BBL","Be Back Later"
"BBS","Be Back Soon"
"BFF","Best friends forever"
"BFN","Bye For Now"
"BRB","Be Right Back"
"BRT","Be Right There"
"BSAAW","Big smile and a wink"
"BTW","By The Way"
"BWL","Bursting with laughter"
"CSL","Can’t stop laughing"
"CU","See You"
"CUL8R","See You Later"
"CYA","See You"
"FAQ","Frequently Asked Questions"
"FC","Fingers Crossed"
"FIMH","Forever in my heart"
"FWIW","For What It's Worth"
"FYI","For Your Information"
"G9","Genius"
"GAL","Get A Life"
"GG","Good Game"
"GMTA","Great Minds Think Alike"
"GN","Good Night"
"GR8","Great!"
"HBU","How about you?"
"IC","I See"
"ICQ","I Seek you (also a chat program)"
"IDC","I don’t care"
"IDC","I don’t care"
"IFYP","I feel your pain"
"ILU","I Love You"
"ILY","I love you"
"IMHO","In My Humble Opinion"
"IMO","In My Opinion"
"IMU","I miss you"
"IOW","In Other Words"
"IRL","In Real Life"
"JK","Just kidding"
"KISS","Keep It Simple, Stupid"
"KK","Okay, cool"
"L8R","Later"
"LDR","Long Distance Relationship"
"LMAO","Laugh My Ass Off"
"LMFAO","Laugh My Fucking Ass Off"
"LMK","Let me know"
"LOL","Laughing Out Loud"
"LTNS","Long Time No See"
"M8","Mate"
"MFW","My face when"
"MRW","My reaction when"
"MTE","My Thoughts Exactly"
"NRN","No Reply Necessary"
"OIC","Oh I See"
"PITA","Pain In The Ass"
"PRT","Party"
"PRW","Parents Are Watching"
"QPSA","Que Pasa?"
"ROFL","Rolling On The Floor Laughing"
"ROFLOL","Rolling On The Floor Laughing Out Loud"
"ROTFLMAO","Rolling On The Floor Laughing My Ass Off"
"SK8","Skate"
"STATS","Your sex and age"
"TFW","That feeling when"
"THX","Thank You"
"TIME","Tears in my eyes"
"TNTL","Trying not to laugh"
"TTFN","Ta-Ta For Now!"
"TTYL","Talk To You Later"
"U","You"
"U2","You Too"
"U4E","Yours For Ever"
"W8","Wait"
"WB","Welcome Back"
"WTF","What The Fuck"
"WTG","Way To Go!"
"WUF","Where Are You From?"
"WYWH","Wish you were here"
"ZZZ","Sleeping, bored, tired"
